,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,50.91,51.36,38.06,80.0,34.29,68.82,46.74,63.91
1,2018 General,32.76,52.4,27.67,36.36,36.0,66.7,36.86,61.41
