,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,40.0,50.93,52.63,0.0,16.67,67.21,43.78,61.3
1,2018 General,75.0,44.51,20.0,100.0,75.0,64.27,35.53,57.2
