,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,65.22,42.86,61.36,57.14,59.57,73.33,72.63,73.11
1,2018 General,56.86,34.48,53.0,60.0,56.0,69.43,62.55,68.74
