,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,66.67,63.41,50.0,100.0,25.0,70.25,53.66,66.69
1,2018 General,60.0,58.69,57.14,33.33,14.29,63.97,37.1,60.23
