,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,27.78,54.56,46.88,33.33,30.77,69.97,42.98,63.16
1,2018 General,11.76,55.27,42.86,25.0,53.33,69.5,42.25,62.92
