,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,43.64,58.73,33.33,0.0,35.29,69.83,43.24,61.94
1,2018 General,37.74,62.4,16.67,0.0,29.41,70.29,38.5,63.89
