,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,56.4,58.91,56.94,48.17,52.74,70.77,49.51,62.01
1,2018 General,50.92,57.28,53.3,41.73,51.01,68.69,44.47,59.54
