,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,67.97,63.05,54.01,38.89,50.0,78.73,58.53,72.58
1,2018 General,44.77,58.32,35.2,29.63,53.57,73.01,41.04,66.33
