,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,20.0,57.53,36.84,0.0,36.36,72.57,46.46,64.81
1,2018 General,18.75,50.45,25.0,50.0,45.45,67.77,37.67,58.54
