,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,28.57,62.62,33.33,50.0,75.0,74.57,57.97,67.49
1,2018 General,50.0,63.69,37.5,50.0,55.56,74.19,42.59,67.4
