,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,39.13,53.14,53.06,100.0,56.6,70.99,45.98,65.65
1,2018 General,48.0,52.16,44.26,100.0,48.21,66.51,28.15,61.12
