,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,40.0,69.63,66.67,0.0,40.0,73.95,57.41,71.68
1,2018 General,20.0,71.02,25.0,0.0,52.94,74.15,37.85,71.5
