,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,52.94,65.27,41.67,66.67,46.67,73.98,63.78,70.84
1,2018 General,37.5,65.18,60.0,55.56,30.77,70.88,49.55,67.81
