,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,46.7,53.92,53.21,70.59,47.95,68.26,50.13,64.24
1,2018 General,41.59,54.66,41.84,42.11,47.56,62.79,39.73,57.66
