,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,14.29,60.71,44.44,33.33,50.0,68.57,52.94,65.7
1,2018 General,25.0,59.53,14.29,33.33,20.0,66.73,40.18,63.44
