,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,50.0,55.75,49.25,80.0,37.5,63.73,33.33,61.14
1,2018 General,50.0,56.14,32.3,50.0,33.33,63.02,27.62,59.29
