,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,38.46,66.47,43.9,40.0,35.48,67.57,55.65,66.41
1,2018 General,24.14,61.68,33.33,40.0,33.33,60.54,39.69,59.33
