,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,59.38,59.12,64.0,100.0,73.68,76.69,65.22,72.9
1,2018 General,41.03,55.83,54.55,20.0,50.0,75.32,41.41,69.89
