,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,37.5,56.25,30.95,50.0,55.56,69.03,46.55,63.93
1,2018 General,38.89,57.65,36.0,80.0,53.85,68.82,37.78,63.89
