,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,34.31,58.18,54.55,25.0,42.86,70.32,58.55,67.58
1,2018 General,32.69,53.79,46.67,20.0,48.39,67.71,48.23,64.23
