,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,62.47,64.49,65.05,60.0,59.52,77.34,64.86,75.36
1,2018 General,55.65,63.82,57.3,41.67,59.28,75.79,56.29,72.86
