,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,52.0,54.31,36.36,33.33,53.33,70.55,46.83,63.28
1,2018 General,41.67,56.17,42.86,50.0,65.0,70.21,27.04,62.29
