,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,45.48,53.01,51.51,45.45,47.9,66.05,49.89,62.93
1,2018 General,35.95,53.1,40.23,36.84,47.98,60.79,37.75,57.05
