,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,47.43,52.45,43.76,50.0,46.99,66.38,51.3,61.71
1,2018 General,38.04,49.4,32.12,42.11,43.58,61.9,42.05,56.73
