,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,34.78,56.21,66.67,0.0,44.44,70.2,49.02,65.66
1,2018 General,30.77,57.69,48.28,75.0,47.83,70.57,35.8,65.51
