,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,59.46,53.44,57.1,48.34,52.57,66.79,52.34,58.89
1,2018 General,53.72,51.66,50.44,35.47,51.58,64.1,47.35,56.04
