,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,47.3,62.78,52.38,33.33,55.68,74.33,59.91,70.82
1,2018 General,41.38,65.25,41.49,73.33,52.08,72.22,51.61,69.1
