,-,ASIAN-PACIFIC,BLACK,LATINO,NATIVE-AMERICAN,OTHER,WHITE,UNKNOWN,TOTAL
0,2016 General,57.68,66.58,58.71,61.54,55.07,67.95,51.8,65.72
1,2018 General,48.17,65.24,46.2,45.34,51.69,64.18,42.81,61.34
