ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,1.42,7.18,2.61,5.56,2.14,15.03,6.78,12.84
2014 Primary Runoff,2.37,3.27,2.85,0.00,2.14,13.81,5.14,11.28
2014 General,19.11,34.93,18.16,15.00,23.32,38.33,24.59,36.03
2016 Presidential Primary,11.69,21.02,15.78,22.22,16.14,32.96,21.26,29.56
2016 Primary,6.02,9.53,6.90,7.41,6.28,19.38,8.36,16.51
2016 Primary Runoff,3.40,1.63,3.09,3.70,2.51,9.75,4.43,7.89
2016 General,43.52,54.83,47.99,57.14,46.15,61.88,50.84,59.21
2018 Primary,3.44,15.25,6.35,7.02,6.84,13.48,6.54,12.52
2018 Primary Runoff,0.86,3.12,2.76,3.51,3.41,10.58,3.78,8.42
2018 General,35.97,53.12,37.64,53.03,44.59,55.73,37.47,52.45
