ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,5.18,8.91,5.96,6.59,7.82,21.91,9.69,18.75
2014 Primary Runoff,2.74,3.04,3.81,3.30,5.15,17.21,7.10,14.50
2014 General,24.54,41.52,26.88,27.84,29.13,49.70,43.97,47.18
2016 Presidential Primary,16.64,28.14,26.26,16.83,23.52,41.18,31.21,37.99
2016 Primary,3.13,5.05,4.79,3.54,4.92,18.00,9.36,15.35
2016 Primary Runoff,0.44,0.12,0.65,0.00,0.76,2.46,1.14,2.07
2016 General,69.33,66.72,64.14,68.79,64.71,72.67,68.26,71.37
2018 Primary,14.10,17.32,11.19,13.15,14.01,25.23,18.99,22.54
2018 Primary Runoff,4.86,5.65,4.59,7.87,6.68,17.40,13.03,15.00
2018 General,55.65,63.19,50.89,49.39,55.32,63.54,56.73,61.12
