ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,1.06,6.19,2.47,20.00,6.98,19.75,7.52,17.82
2014 Primary Runoff,0.00,2.69,1.23,0.00,2.33,7.71,3.80,7.00
2014 General,16.13,24.64,15.12,20.00,18.00,36.40,20.60,34.47
2016 Presidential Primary,4.04,17.91,9.89,25.00,16.39,34.02,19.01,31.47
2016 Primary,4.95,10.63,4.04,25.00,6.15,28.96,11.77,26.12
2016 Primary Runoff,1.98,1.28,0.00,0.00,0.00,9.40,3.75,8.24
2016 General,39.81,47.90,36.52,37.50,38.96,62.92,44.74,60.27
2018 Primary,8.79,10.01,3.85,0.00,8.97,21.43,5.51,19.01
2018 Primary Runoff,2.20,3.74,2.88,0.00,3.85,17.12,4.78,14.75
2018 General,43.62,43.70,38.02,50.00,32.98,56.98,27.54,53.33
