ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,7.14,7.24,5.59,0.00,14.55,23.66,7.58,22.82
2014 Primary Runoff,3.57,3.33,3.73,0.00,7.27,14.61,4.62,14.07
2014 General,24.19,26.62,34.36,20.00,24.07,48.57,25.82,47.41
2016 Presidential Primary,20.29,14.19,28.32,30.00,29.03,40.98,23.42,39.88
2016 Primary,5.88,8.97,6.94,0.00,7.94,22.57,6.19,21.58
2016 Primary Runoff,1.47,2.56,1.73,0.00,0.00,8.38,2.11,7.98
2016 General,48.65,48.54,55.79,80.95,42.65,69.36,50.35,68.13
2018 Primary,11.69,14.62,10.66,4.00,13.24,24.73,8.10,23.23
2018 Primary Runoff,7.79,3.59,7.58,16.00,5.97,19.26,5.96,18.00
2018 General,39.53,47.85,45.00,46.67,38.16,62.17,30.08,59.25
