ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,4.00,12.55,1.16,14.29,2.94,12.76,4.59,12.34
2014 Primary Runoff,4.00,6.57,0.00,14.29,2.94,10.50,3.95,9.76
2014 General,16.00,35.42,16.85,25.00,19.44,40.98,18.58,39.32
2016 Presidential Primary,3.85,21.29,10.42,11.11,11.90,34.65,16.80,32.19
2016 Primary,7.41,16.42,8.74,10.00,11.90,24.52,8.64,22.83
2016 Primary Runoff,0.00,1.11,2.91,0.00,2.38,13.38,4.45,11.59
2016 General,52.94,50.76,37.19,45.45,30.61,63.55,45.69,61.07
2018 Primary,0.00,13.43,5.56,7.69,8.89,21.44,6.10,19.65
2018 Primary Runoff,0.00,3.80,4.76,0.00,6.67,16.89,4.40,14.78
2018 General,25.71,48.34,29.58,38.89,35.85,59.59,34.18,56.73
