ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,4.05,9.71,3.62,5.20,8.67,19.35,5.08,15.17
2014 Primary Runoff,2.31,3.85,2.34,4.55,5.79,16.93,3.24,11.95
2014 General,27.08,42.04,26.60,31.21,33.88,52.42,23.33,46.53
2016 Presidential Primary,19.20,26.91,25.17,22.10,26.67,44.17,19.08,36.53
2016 Primary,2.91,7.05,2.70,5.00,5.28,13.80,3.07,10.55
2016 Primary Runoff,2.38,0.88,1.61,2.29,3.51,12.74,2.07,8.17
2016 General,59.89,60.50,60.56,55.59,58.90,71.59,45.00,66.04
2018 Primary,6.91,15.88,6.90,8.31,10.55,19.14,6.81,16.44
2018 Primary Runoff,3.99,3.62,2.83,6.95,6.27,18.42,3.97,12.21
2018 General,51.12,58.22,47.90,43.23,53.49,63.81,37.81,59.31
