ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,6.67,5.88,0.00,0.00,4.55,17.31,7.52,13.59
2014 Primary Runoff,2.22,1.98,0.00,100.0,0.00,9.65,3.98,7.19
2014 General,15.56,32.67,12.00,100.0,17.86,45.16,26.78,40.72
2016 Presidential Primary,17.95,20.10,12.36,50.00,13.79,42.12,25.00,34.89
2016 Primary,7.69,11.23,3.16,66.67,12.12,35.19,15.09,27.30
2016 Primary Runoff,0.00,0.17,0.00,0.00,9.09,6.93,2.07,4.76
2016 General,41.86,54.24,47.22,100.0,40.54,71.13,50.27,65.28
2018 Primary,12.77,13.18,1.83,25.00,8.57,27.46,9.90,22.47
2018 Primary Runoff,6.38,9.58,2.75,0.00,14.29,17.39,7.14,14.64
2018 General,34.69,51.68,37.93,66.67,42.86,67.75,39.01,61.59
