ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,11.11,17.94,9.72,21.43,12.50,18.74,4.03,18.35
2014 Primary Runoff,1.39,6.15,1.39,15.38,4.17,12.02,2.42,10.33
2014 General,23.61,49.87,23.94,15.38,29.17,47.89,21.21,47.94
2016 Presidential Primary,16.67,33.59,24.10,18.75,32.26,40.84,21.36,38.53
2016 Primary,8.75,16.23,8.43,12.50,9.09,28.02,4.57,24.50
2016 Primary Runoff,2.50,0.29,0.00,0.00,3.03,7.12,0.91,5.23
2016 General,56.79,66.91,49.46,55.56,61.54,71.10,41.70,69.41
2018 Primary,4.05,24.52,6.12,0.00,7.69,20.86,3.83,21.01
2018 Primary Runoff,5.63,7.96,4.08,5.26,1.92,19.98,2.19,16.20
2018 General,52.56,66.46,47.01,64.00,48.39,66.79,23.09,64.98
