ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,3.51,16.05,6.45,33.33,12.00,34.38,13.29,29.43
2014 Primary Runoff,7.02,9.03,2.60,33.33,2.67,19.90,6.89,16.92
2014 General,10.34,32.61,15.13,33.33,23.08,43.19,22.44,39.51
2016 Presidential Primary,14.29,23.26,9.49,20.00,13.75,37.68,18.47,33.38
2016 Primary,18.97,12.90,6.79,50.00,15.38,36.53,15.39,30.58
2016 Primary Runoff,5.08,3.59,1.85,0.00,3.90,22.58,6.79,17.90
2016 General,51.52,48.63,37.63,57.14,29.76,67.16,43.77,61.78
2018 Primary,1.54,18.60,2.17,10.00,12.82,25.06,7.45,22.00
2018 Primary Runoff,4.62,5.68,1.10,10.00,6.41,19.45,4.49,15.62
2018 General,35.71,49.45,25.36,33.33,33.33,64.39,32.85,58.50
