ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,0.00,18.49,0.00,0.00,3.85,22.14,9.02,19.27
2014 Primary Runoff,0.00,5.45,0.00,0.00,0.00,8.82,1.52,6.44
2014 General,25.00,42.16,0.00,0.00,25.93,50.85,27.48,44.43
2016 Presidential Primary,7.55,22.19,13.95,0.00,4.17,37.75,14.91,27.01
2016 Primary,14.55,32.23,2.22,0.00,16.67,42.52,13.29,34.87
2016 Primary Runoff,11.11,20.10,0.00,0.00,4.17,35.01,5.23,24.53
2016 General,42.62,56.87,31.48,0.00,33.33,68.30,39.56,59.94
2018 Primary,5.26,20.14,1.89,0.00,0.00,20.71,6.99,19.55
2018 Primary Runoff,0.00,5.50,0.00,0.00,0.00,16.76,3.06,9.13
2018 General,37.10,59.45,12.07,0.00,36.36,67.65,33.21,60.57
