ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,10.26,18.09,0.00,0.00,13.79,31.01,8.03,26.24
2014 Primary Runoff,0.00,4.20,0.00,0.00,8.77,13.79,1.58,10.52
2014 General,14.29,42.15,16.28,33.33,22.41,48.81,21.45,45.46
2016 Presidential Primary,0.00,27.27,12.96,0.00,21.43,38.45,17.84,33.96
2016 Primary,2.13,22.32,7.14,0.00,17.54,32.80,7.91,28.28
2016 Primary Runoff,0.00,1.46,1.79,0.00,12.28,26.13,4.95,18.00
2016 General,42.11,60.82,43.55,33.33,58.46,70.23,43.19,65.78
2018 Primary,6.67,15.15,1.79,0.00,15.25,31.55,7.41,25.13
2018 Primary Runoff,1.67,2.90,1.75,12.50,6.90,20.57,3.75,14.45
2018 General,32.20,61.60,32.35,15.38,54.05,66.55,39.49,62.83
