ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,7.69,17.99,10.26,0.00,9.30,22.65,14.37,21.56
2014 Primary Runoff,7.69,5.69,7.69,25.00,6.98,16.21,9.15,14.65
2014 General,42.31,47.83,25.64,0.00,32.50,51.51,36.60,50.07
2016 Presidential Primary,24.14,29.75,29.79,14.29,30.23,45.63,31.13,42.96
2016 Primary,24.14,19.12,19.23,12.50,22.22,32.58,18.86,30.27
2016 Primary Runoff,6.90,2.64,7.69,12.50,6.67,14.64,7.24,12.93
2016 General,62.50,62.11,59.26,71.43,60.00,73.39,57.48,71.14
2018 Primary,21.88,20.98,12.07,12.50,18.18,23.59,11.49,22.32
2018 Primary Runoff,9.38,5.92,7.02,0.00,5.45,20.25,8.86,17.93
2018 General,46.15,63.14,52.46,58.33,49.18,69.41,47.29,66.92
