ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,8.70,7.32,3.92,0.00,4.55,18.00,11.02,17.54
2014 Primary Runoff,2.17,3.41,3.92,0.00,2.27,14.70,7.37,14.24
2014 General,27.66,28.64,22.55,0.00,33.33,49.70,33.74,48.71
2016 Presidential Primary,17.65,23.15,22.41,14.29,31.25,42.99,31.20,42.10
2016 Primary,11.32,17.43,4.24,12.50,8.33,27.97,10.40,26.98
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,1.65,1.10,1.59
2016 General,52.38,50.43,54.74,45.45,44.00,68.74,59.56,67.92
2018 Primary,9.84,13.43,6.29,9.52,11.32,24.30,7.44,22.73
2018 Primary Runoff,8.33,9.09,4.90,10.00,9.62,23.15,7.54,21.66
2018 General,42.42,46.36,39.35,42.31,50.00,62.03,33.66,59.44
