ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,0.00,20.18,0.00,0.00,0.00,28.22,13.21,27.15
2014 Primary Runoff,0.00,14.04,20.00,0.00,0.00,28.89,13.21,27.42
2014 General,0.00,40.00,20.00,0.00,0.00,47.14,33.33,46.13
2016 Presidential Primary,0.00,17.21,0.00,0.00,0.00,43.77,24.07,41.26
2016 Primary,0.00,43.65,0.00,100.0,0.00,66.96,54.72,64.92
2016 Primary Runoff,0.00,17.74,0.00,0.00,0.00,37.06,11.32,34.96
2016 General,0.00,56.69,40.00,0.00,0.00,73.80,62.50,72.20
2018 Primary,0.00,12.70,0.00,0.00,0.00,33.98,5.95,31.19
2018 Primary Runoff,0.00,0.00,0.00,0.00,0.00,20.11,5.95,18.06
2018 General,0.00,52.80,50.00,100.0,16.67,70.19,34.78,67.16
