ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,5.88,8.72,2.20,0.00,0.00,19.83,5.86,15.98
2014 Primary Runoff,5.88,3.05,0.00,0.00,0.00,14.65,3.10,10.90
2014 General,29.41,36.14,12.37,0.00,4.55,46.85,23.13,42.14
2016 Presidential Primary,38.89,28.12,19.05,0.00,4.76,53.06,22.05,44.54
2016 Primary,15.00,12.68,3.81,0.00,0.00,30.09,9.66,24.20
2016 Primary Runoff,5.00,0.86,0.94,0.00,0.00,25.33,6.23,17.91
2016 General,43.48,53.75,44.92,100.0,46.15,72.48,43.07,65.70
2018 Primary,15.00,16.42,5.13,33.33,0.00,20.34,3.40,17.37
2018 Primary Runoff,0.00,2.92,0.85,0.00,0.00,15.98,1.69,11.32
2018 General,40.91,55.20,29.23,25.00,25.00,67.32,27.64,59.51
