ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,4.85,9.68,1.60,7.69,3.47,20.94,6.07,17.05
2014 Primary Runoff,3.99,6.16,0.76,0.00,1.40,14.65,4.19,11.86
2014 General,14.97,32.47,12.40,18.75,17.57,41.68,19.24,36.00
2016 Presidential Primary,12.43,21.80,15.04,13.64,15.58,39.45,19.62,33.82
2016 Primary,7.71,19.17,6.84,3.70,4.39,26.05,9.69,21.74
2016 Primary Runoff,2.20,0.56,0.16,0.00,0.29,6.43,1.60,4.95
2016 General,47.36,52.15,53.26,57.14,45.97,66.84,46.83,62.31
2018 Primary,5.36,12.15,5.51,7.14,4.23,14.93,5.59,12.48
2018 Primary Runoff,2.14,1.78,0.33,2.38,1.13,11.72,2.80,8.79
2018 General,40.39,51.48,42.60,39.66,44.42,60.48,36.44,54.87
