ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,0.66,9.42,0.97,0.00,1.96,17.33,5.45,16.12
2014 Primary Runoff,1.97,4.45,0.49,0.00,0.98,9.97,2.56,9.24
2014 General,11.61,32.89,10.60,15.79,10.58,38.87,18.36,37.03
2016 Presidential Primary,10.76,22.32,13.72,12.50,11.21,36.11,19.64,34.04
2016 Primary,3.09,9.15,2.03,5.88,3.36,21.50,5.11,19.61
2016 Primary Runoff,1.86,1.63,0.57,5.88,2.54,8.83,1.44,7.95
2016 General,40.35,50.38,48.91,52.38,35.38,64.06,44.96,62.00
2018 Primary,2.70,13.39,3.59,6.52,7.32,16.29,3.17,14.90
2018 Primary Runoff,1.60,3.03,0.90,8.51,3.31,13.69,2.35,12.08
2018 General,29.95,50.61,37.98,32.00,39.33,59.07,24.95,55.80
