ELECTION TYPE/YEAR,102,103,104,105,106,107,108,109,111,112,114,115,201,202,203,204,207,208,210,301,302,303,304,305,306,307,308,309,310,401,402,404,405,406,501,502,503,504,506,507,509,601,603,604,605,607,608,701,702,703,705,706,707,708,709,801,801B,802,803,804,804H,805,806,807,808,809,810,88888,99999,TOTAL
2018 General,39.25,45.41,45.55,52.52,34.84,59.62,55.74,43.04,43.0,38.78,42.87,36.23,45.28,44.55,44.91,51.82,42.21,43.73,48.53,66.09,37.07,67.76,62.59,78.74,48.87,59.58,43.71,62.05,55.24,61.79,37.87,51.75,61.4,62.69,52.41,53.15,51.09,42.89,45.79,44.62,57.5,45.58,52.59,49.75,48.59,57.92,58.1,64.69,53.87,47.41,55.54,60.37,44.69,63.92,63.48,55.25,58.44,52.19,9.65,53.29,60.01,59.11,60.02,48.09,58.86,59.79,66.49,4.35,2.33,51.86
