ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2014 Primary,16.17,14.45,0.00,15.27
2014 Primary Runoff,11.38,10.04,0.00,10.68
2014 General,46.95,46.71,25.00,46.82
2016 Presidential Primary,37.57,38.19,60.00,37.90
2016 Primary,16.33,15.70,40.00,16.00
2016 Primary Runoff,8.26,7.27,0.00,7.75
2016 General,66.63,70.05,78.57,68.41
2018 Primary,23.00,22.00,15.79,22.48
2018 Primary Runoff,12.52,10.81,5.26,11.62
2018 General,64.53,64.96,54.17,64.75
