ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,10.84,11.17,4.27,2.67,7.93,18.53,7.08,16.03
2014 Primary Runoff,2.45,3.12,1.95,2.67,2.29,11.01,3.15,8.81
2014 General,28.82,44.87,25.41,38.46,27.51,47.80,28.06,44.69
2016 Presidential Primary,19.11,29.04,23.35,33.33,19.53,39.60,22.46,35.41
2016 Primary,6.99,12.30,5.68,8.99,5.95,18.72,6.74,15.95
2016 Primary Runoff,1.85,0.69,1.81,4.49,1.62,9.07,2.61,6.85
2016 General,56.76,64.50,57.12,64.41,53.34,66.90,50.13,64.31
2018 Primary,11.45,18.61,7.78,8.09,11.01,23.08,9.43,20.18
2018 Primary Runoff,6.31,4.78,4.33,6.40,6.30,22.03,6.65,16.76
2018 General,46.85,61.98,43.73,44.83,49.19,61.92,39.80,58.70
