ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,3.66,10.31,2.51,2.86,5.31,16.74,8.37,12.99
2014 Primary Runoff,2.42,2.69,1.75,0.00,3.14,14.34,4.99,8.68
2014 General,21.18,48.87,25.01,22.73,30.04,48.86,38.14,46.62
2016 Presidential Primary,14.38,30.29,19.66,19.05,19.00,40.47,25.09,33.91
2016 Primary,2.69,11.21,2.36,8.00,5.38,14.44,7.26,11.90
2016 Primary Runoff,0.88,0.39,0.41,1.96,1.29,7.60,1.93,3.95
2016 General,49.67,65.39,54.13,52.11,51.80,68.23,57.05,65.09
2018 Primary,5.43,19.71,6.27,7.56,9.84,19.64,12.45,18.12
2018 Primary Runoff,3.84,10.67,3.29,3.45,6.43,20.67,8.73,14.31
2018 General,38.82,62.91,42.92,45.81,48.49,61.13,49.02,59.44
