ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,14.29,5.00,6.00,22.22,20.00,26.80,15.99,26.39
2014 Primary Runoff,10.71,5.00,4.00,11.11,8.57,11.25,6.46,11.09
2014 General,31.25,15.00,17.86,27.27,35.90,43.73,36.15,43.34
2016 Presidential Primary,27.78,14.81,21.67,33.33,29.55,39.15,34.85,38.85
2016 Primary,22.86,13.33,8.82,21.43,26.67,34.27,21.35,33.62
2016 Primary Runoff,2.86,3.33,0.00,7.14,8.89,13.54,6.43,13.17
2016 General,53.85,33.33,45.98,55.56,64.00,67.32,59.53,66.81
2018 Primary,18.42,0.00,9.09,18.52,16.13,23.95,12.04,23.10
2018 Primary Runoff,18.42,0.00,6.06,19.23,9.84,20.16,10.40,19.45
2018 General,52.00,30.30,47.32,41.18,57.38,61.39,47.81,60.40
