ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,1.90,7.95,3.75,0.00,5.26,20.39,7.28,15.58
2014 Primary Runoff,0.96,2.20,1.87,0.00,1.44,11.07,3.21,7.73
2014 General,15.67,33.79,20.44,37.50,16.13,43.28,25.54,39.07
2016 Presidential Primary,12.92,24.29,18.52,15.38,14.59,39.40,21.75,33.29
2016 Primary,4.02,7.34,7.92,18.75,5.49,26.02,9.62,18.87
2016 Primary Runoff,1.20,0.53,1.66,12.50,1.68,13.21,3.59,8.47
2016 General,44.44,51.50,48.70,50.00,39.32,65.47,47.56,59.61
2018 Primary,2.94,11.28,6.07,8.70,7.00,19.60,7.25,15.88
2018 Primary Runoff,1.84,2.10,3.48,4.35,1.96,15.62,4.08,10.28
2018 General,31.42,52.30,40.22,37.50,36.12,61.68,37.27,56.63
