ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,9.52,18.35,4.88,0.00,5.26,17.59,9.96,17.31
2014 Primary Runoff,9.52,4.57,1.25,0.00,7.14,13.11,5.09,9.47
2014 General,22.73,45.59,21.69,28.57,25.45,52.01,36.29,48.40
2016 Presidential Primary,22.73,19.08,18.75,25.00,18.97,36.54,21.90,29.01
2016 Primary,20.83,18.25,1.02,12.50,5.08,19.80,11.30,18.51
2016 Primary Runoff,4.17,11.94,0.00,12.50,0.00,4.00,4.05,6.86
2016 General,47.83,55.32,45.54,44.44,43.55,67.60,52.42,61.87
2018 Primary,12.90,11.43,5.19,0.00,10.00,23.50,10.18,17.98
2018 Primary Runoff,6.25,2.33,2.99,0.00,3.92,13.82,4.38,8.88
2018 General,39.39,47.35,35.62,38.46,48.15,60.17,42.72,54.09
