ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,6.52,7.61,4.55,11.76,6.45,21.16,7.30,16.05
2014 Primary Runoff,4.37,3.03,3.47,17.65,3.69,18.66,6.45,12.99
2014 General,24.08,37.16,22.43,35.29,21.36,48.28,24.35,43.29
2016 Presidential Primary,17.56,23.15,21.83,15.79,17.50,41.61,18.76,34.32
2016 Primary,6.51,12.82,5.24,15.00,9.39,26.43,8.72,20.92
2016 Primary Runoff,5.12,4.06,4.09,10.00,4.49,20.78,4.52,14.44
2016 General,50.23,53.45,46.43,42.31,40.79,66.13,45.47,60.68
2018 Primary,10.14,14.02,5.59,10.26,9.29,23.84,8.03,19.27
2018 Primary Runoff,5.99,2.17,3.33,15.38,4.63,19.53,3.91,12.67
2018 General,45.60,51.03,35.07,29.17,47.50,60.28,33.60,54.97
