ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,16.67,14.84,0.00,0.00,0.00,22.99,6.69,22.04
2014 Primary Runoff,16.67,4.59,0.00,0.00,0.00,10.21,1.82,9.70
2014 General,22.22,25.62,6.06,0.00,3.85,33.05,11.21,31.88
2016 Presidential Primary,44.44,20.58,5.26,16.67,0.00,28.53,10.93,27.46
2016 Primary,27.27,22.86,7.50,0.00,0.00,37.13,11.26,35.46
2016 Primary Runoff,18.18,17.27,7.50,0.00,6.67,30.72,8.38,29.28
2016 General,53.33,57.50,34.78,50.00,44.12,63.00,37.68,61.62
2018 Primary,0.00,12.54,2.04,0.00,3.03,16.66,4.16,15.67
2018 Primary Runoff,0.00,3.64,0.00,0.00,0.00,10.30,1.86,9.52
2018 General,53.33,54.61,25.93,50.00,35.71,55.19,24.58,53.25
