ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,4.46,16.07,5.34,4.52,7.54,22.27,7.15,17.01
2014 Primary Runoff,2.71,10.33,2.88,2.47,4.26,17.05,4.20,11.81
2014 General,26.86,43.78,29.48,21.65,30.24,54.48,28.99,45.50
2016 Presidential Primary,18.35,28.12,25.11,18.33,22.17,45.22,21.30,32.86
2016 Primary,4.18,14.41,4.52,4.03,6.27,16.78,5.61,13.93
2016 Primary Runoff,1.01,6.01,1.26,0.74,2.12,5.03,1.68,5.07
2016 General,56.11,56.79,55.59,47.25,51.09,70.33,48.52,60.36
2018 Primary,8.54,18.49,10.42,8.14,12.00,25.61,10.50,19.47
2018 Primary Runoff,3.40,6.01,3.14,2.80,3.69,15.07,3.56,8.50
2018 General,49.86,54.29,49.98,38.02,49.09,67.62,42.71,57.11
