ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,18.18,13.51,5.26,0.00,0.00,21.58,8.33,18.02
2014 Primary Runoff,9.09,6.29,0.00,0.00,0.00,15.40,2.38,11.45
2014 General,36.36,45.33,5.00,50.00,30.00,53.76,26.53,49.70
2016 Presidential Primary,17.65,27.64,5.00,50.00,25.00,43.66,15.69,36.41
2016 Primary,25.00,36.03,9.52,50.00,23.81,55.90,18.87,46.84
2016 Primary Runoff,0.00,0.00,0.00,0.00,0.00,1.49,0.63,0.87
2016 General,75.00,60.71,22.73,80.00,52.17,73.47,49.08,67.64
2018 Primary,5.88,21.88,8.70,0.00,7.14,20.34,7.69,20.18
2018 Primary Runoff,0.00,7.87,0.00,0.00,3.57,20.16,4.56,14.52
2018 General,38.89,59.37,39.29,42.86,48.39,72.46,33.05,65.07
