ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,0.00,13.46,0.00,0.00,33.33,19.79,10.53,15.80
2014 Primary Runoff,7.14,9.10,0.00,0.00,0.00,13.13,2.63,10.53
2014 General,35.71,45.49,25.00,0.00,50.00,59.31,33.33,50.59
2016 Presidential Primary,6.67,29.79,20.00,0.00,100.0,41.42,22.58,34.14
2016 Primary,46.67,35.00,11.76,0.00,0.00,44.43,12.50,38.32
2016 Primary Runoff,0.00,18.59,0.00,0.00,0.00,11.34,6.25,15.44
2016 General,66.67,61.07,40.00,0.00,100.0,74.68,40.54,65.97
2018 Primary,12.50,20.39,11.11,0.00,0.00,21.45,2.94,20.10
2018 Primary Runoff,12.50,7.57,0.00,0.00,0.00,17.84,0.97,11.18
2018 General,41.18,56.60,44.44,0.00,33.33,71.06,25.98,60.54
