ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,5.57,7.26,2.97,0.00,6.31,14.43,7.35,12.42
2014 Primary Runoff,2.43,1.96,1.99,0.00,4.53,9.99,4.75,8.08
2014 General,26.34,43.84,25.88,19.05,30.13,43.91,31.74,42.38
2016 Presidential Primary,17.10,24.57,23.23,18.75,22.51,37.04,23.63,33.23
2016 Primary,4.38,4.52,3.17,0.00,4.32,13.20,5.00,10.67
2016 Primary Runoff,2.71,0.98,1.11,2.56,1.87,8.66,2.81,6.61
2016 General,55.60,63.70,58.76,48.28,56.98,69.03,55.81,66.44
2018 Primary,5.51,13.14,5.50,4.07,7.59,16.11,8.87,14.52
2018 Primary Runoff,3.70,2.45,3.69,4.20,5.42,16.16,6.22,12.37
2018 General,40.88,59.74,42.56,36.36,49.77,57.42,42.16,55.86
