ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,16.67,12.51,7.32,0.00,5.56,16.22,8.33,14.71
2014 Primary Runoff,0.00,4.07,0.00,0.00,0.00,13.40,1.67,9.87
2014 General,16.67,31.05,13.33,0.00,15.79,44.50,28.00,39.29
2016 Presidential Primary,33.33,22.65,21.28,0.00,18.18,39.52,25.95,33.40
2016 Primary,12.50,26.47,12.24,0.00,8.33,38.63,17.91,33.77
2016 Primary Runoff,0.00,0.10,0.00,0.00,0.00,0.13,0.00,0.12
2016 General,58.33,47.43,29.41,25.00,44.44,66.67,46.15,59.39
2018 Primary,10.00,25.68,8.70,0.00,5.00,30.11,10.75,27.69
2018 Primary Runoff,10.00,21.81,6.52,0.00,5.00,28.61,10.28,25.49
2018 General,22.22,49.01,36.00,0.00,30.43,61.12,31.08,55.74
