ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,2.27,6.66,0.00,0.00,0.00,11.94,3.94,9.10
2014 Primary Runoff,0.00,0.79,0.00,0.00,0.00,2.96,0.99,2.01
2014 General,5.66,25.43,1.16,0.00,5.56,19.40,9.50,19.17
2016 Presidential Primary,0.00,14.79,0.50,0.00,4.17,15.70,9.25,13.75
2016 Primary,1.59,23.60,0.47,25.00,2.74,23.52,8.74,20.51
2016 Primary Runoff,4.76,20.39,0.47,25.00,2.74,23.49,10.68,19.84
2016 General,19.18,36.66,13.33,50.00,12.64,34.46,24.77,32.48
2018 Primary,0.00,9.89,0.00,20.00,0.00,3.76,1.27,4.68
2018 Primary Runoff,1.59,16.35,0.53,0.00,0.00,11.51,2.11,10.64
2018 General,8.33,34.71,8.13,20.00,14.71,29.18,10.84,26.40
