ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,5.88,10.94,2.78,14.29,0.00,19.74,8.33,18.29
2014 Primary Runoff,5.88,3.33,5.56,28.57,0.00,12.00,5.42,10.81
2014 General,27.78,38.13,22.86,57.14,5.88,39.29,17.42,38.38
2016 Presidential Primary,33.33,26.87,23.68,25.00,15.00,36.82,22.42,35.10
2016 Primary,11.11,15.27,7.14,12.50,0.00,23.55,4.61,21.82
2016 Primary Runoff,0.00,1.10,0.00,12.50,0.00,10.57,3.23,9.18
2016 General,54.55,53.85,51.28,75.00,32.00,63.70,40.83,61.67
2018 Primary,4.35,11.25,8.57,16.67,13.64,20.61,7.99,18.79
2018 Primary Runoff,8.70,4.48,5.71,25.00,4.55,17.75,4.46,15.53
2018 General,50.00,53.97,40.54,41.67,45.16,59.94,28.68,57.32
