ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,3.57,2.06,1.25,0.00,7.14,17.95,7.94,16.47
2014 Primary Runoff,3.57,0.00,0.97,0.00,1.03,9.03,3.10,8.22
2014 General,21.43,14.14,10.48,12.50,19.79,34.32,18.94,32.11
2016 Presidential Primary,18.75,7.69,11.02,28.57,17.89,34.31,19.36,31.93
2016 Primary,12.12,2.75,5.24,14.29,7.37,32.41,15.64,29.65
2016 Primary Runoff,0.00,0.00,0.87,0.00,6.32,12.66,5.09,11.45
2016 General,37.14,30.91,46.15,44.44,45.83,62.71,47.36,60.46
2018 Primary,2.94,4.04,2.20,7.14,5.32,14.11,4.60,12.63
2018 Primary Runoff,2.94,0.00,0.35,7.14,5.32,9.75,2.87,8.65
2018 General,31.58,29.52,40.08,46.67,40.00,56.74,34.13,53.73
