ELECTION TYPE/YEAR,ASIA-PI,BLACK,HISP-LT,NATIVE-AM,OTHER,WHITE,UNKNOWN,TOTAL
2014 Primary,0.00,9.15,2.04,0.00,6.67,18.27,6.02,15.13
2014 Primary Runoff,3.57,4.17,0.00,0.00,6.67,16.06,5.02,12.31
2014 General,26.92,43.12,20.00,0.00,23.91,47.90,28.12,45.36
2016 Presidential Primary,10.34,29.50,15.91,100.0,19.23,41.19,21.03,36.78
2016 Primary,0.00,8.02,2.13,0.00,5.45,17.33,5.48,14.12
2016 Primary Runoff,3.12,0.25,0.00,0.00,7.27,10.13,2.60,7.14
2016 General,57.58,58.43,46.30,50.00,47.06,68.32,50.14,64.49
2018 Primary,6.25,15.29,6.15,0.00,7.94,20.95,6.74,18.30
2018 Primary Runoff,9.38,3.74,1.54,0.00,7.94,21.05,4.99,15.40
2018 General,50.00,57.89,37.04,54.55,48.57,65.45,40.73,61.48
