ELECTION TYPE/YEAR,MALE,FEMALE,UNKNOWN,TOTAL
2016 Presidential Primary,35.03,32.05,0.00,33.38
2016 Primary,32.27,29.21,25.00,30.58
2016 Primary Runoff,18.80,17.18,0.00,17.90
2016 General,61.58,61.94,83.33,61.78
2018 Primary,23.30,20.93,0.00,22.00
2018 Primary Runoff,17.10,14.40,0.00,15.62
2018 General,58.70,58.36,37.50,58.50
